image_filename,has_detection,person_detected,object_detected,vehicle_detected,animal_detected,food_detected,face_count,gray_histogram,gray_median,hue_histogram,hue_median,saturation_histogram,saturation_median,value_histogram,value_median,edges
https_i.ytimg.comviOdJh_Q5XY4Udefault.jpg,True,True,False,False,False,False,1,[0.40812908 0.18484477 0.25625    0.10020425 0.0505719 ],81.0,[0.8060049  0.02830882 0.05490196 0.0754902  0.03529412],13.0,[0.17242647 0.19718137 0.34865196 0.20416667 0.07757353],125.0,[0.22573529 0.30428922 0.33014706 0.06568627 0.07414216],99.0,0.24705882352941178
https_i.ytimg.comviOdNqWcUdm6Idefault.jpg,True,False,True,False,False,True,1,[0.42099673 0.1752451  0.15747549 0.13921569 0.10706699],75.0,[0.71421569 0.05098039 0.08688725 0.06397059 0.08394608],16.0,[0.4247549  0.23112745 0.22438725 0.09914216 0.02058824],69.0,[0.08872549 0.20134804 0.17022059 0.23909314 0.30061275],161.0,0.2748774509803922
https_i.ytimg.comviOdpHOc7vqHAdefault.jpg,False,False,False,False,False,False,1,[0.31813725 0.19456699 0.10886438 0.16785131 0.21058007],99.0,[0.46678922 0.02389706 0.17218137 0.03982843 0.29730392],80.0,[0.39448529 0.34166667 0.1252451  0.10061275 0.0379902 ],62.0,[0.08161765 0.0692402  0.09375    0.16164216 0.59375   ],218.0,0.2704656862745098
https_i.ytimg.comviOf9GOMM9HPgdefault.jpg,False,False,False,False,False,False,0,[0.43999183 0.16474673 0.09987745 0.09138072 0.20400327],72.0,[0.61090686 0.06372549 0.18492647 0.07916667 0.06127451],22.0,[0.62034314 0.25073529 0.07254902 0.03161765 0.0247549 ],30.0,[0.05220588 0.05882353 0.10747549 0.1942402  0.5872549 ],218.0,0.26151960784313727
https_i.ytimg.comviOfHYnyllqecdefault.jpg,True,True,True,True,False,False,0,[0.22757353 0.24072712 0.38468137 0.1247549  0.02226307],103.0,[0.05980392 0.01348039 0.36715686 0.49840686 0.06115196],109.0,[0.52438725 0.24154412 0.1252451  0.08590686 0.02291667],47.0,[0.10723039 0.35919118 0.24877451 0.24460784 0.04019608],110.0,0.23786764705882352
https_i.ytimg.comviOgcqNuWfFFAdefault.jpg,True,True,False,False,False,False,1,[0.62254902 0.14558824 0.09705882 0.04918301 0.08562092],45.0,[0.66397059 0.29166667 0.01078431 0.01470588 0.01887255],15.0,[0.43431373 0.29203431 0.2        0.03921569 0.03443627],61.0,[0.49865196 0.11617647 0.07218137 0.09056373 0.22242647],51.0,0.19362745098039216
https_i.ytimg.comviOitUxz6txUIdefault.jpg,True,True,False,False,False,False,1,[0.36527778 0.13251634 0.14489379 0.16221405 0.19509804],102.0,[0.62316176 0.01151961 0.01482843 0.06127451 0.28921569],10.0,[0.0495098  0.13492647 0.24166667 0.07365196 0.5002451 ],204.0,[0.41973039 0.24375    0.11470588 0.13676471 0.08504902],59.0,0.1450980392156863
https_i.ytimg.comviOjhBeB9ESqwdefault.jpg,True,True,False,False,False,False,0,[0.34705882 0.19129902 0.21654412 0.15261438 0.09248366],90.0,[0.67867647 0.01666667 0.01164216 0.13406863 0.15894608],15.0,[0.09044118 0.20367647 0.28958333 0.21029412 0.2060049 ],139.0,[0.2629902  0.35367647 0.20882353 0.10306373 0.07144608],82.0,0.2517156862745098
https_i.ytimg.comviOkFdqqyI8y4default.jpg,True,False,True,False,False,False,0,[0.49411765 0.18958333 0.18684641 0.06356209 0.06589052],52.0,[0.38664216 0.05772059 0.20392157 0.34485294 0.00686275],90.0,[0.67745098 0.20723039 0.04362745 0.00747549 0.06421569],28.0,[0.38002451 0.18737745 0.12095588 0.17818627 0.13345588],80.0,0.19509803921568628
https_i.ytimg.comviOkvNxYMyipsdefault.jpg,True,True,False,False,False,False,0,[0.53035131 0.20343137 0.12830882 0.07924837 0.05866013],46.0,[0.63051471 0.07291667 0.04191176 0.14166667 0.1129902 ],23.0,[0.64485294 0.22928922 0.09583333 0.01544118 0.01458333],28.0,[0.27205882 0.31568627 0.13553922 0.11801471 0.15870098],81.0,0.16727941176470587
https_i.ytimg.comviOlGvjhLZDS8default.jpg,True,True,False,False,False,False,2,[0.52189542 0.04893791 0.14501634 0.11168301 0.17246732],42.0,[0.69914216 0.14583333 0.04313725 0.09497549 0.01691176],30.0,[0.71973039 0.04313725 0.18651961 0.04730392 0.00330882],6.0,[0.0120098  0.08970588 0.16433824 0.24705882 0.48688725],206.0,0.16213235294117648
https_i.ytimg.comviOlJykKOuankdefault.jpg,True,True,True,False,False,True,0,[0.42348856 0.09346405 0.09946895 0.09093137 0.29264706],91.0,[0.8060049  0.01654412 0.02916667 0.03566176 0.11262255],16.0,[0.45257353 0.23651961 0.20416667 0.06654412 0.04019608],63.0,[0.00759804 0.01482843 0.0495098  0.12696078 0.80110294],243.0,0.22830882352941176
https_i.ytimg.comviOmLxYUOgTNsdefault.jpg,True,True,True,False,False,False,2,[0.37626634 0.24885621 0.2004902  0.1308415  0.04354575],73.0,[0.56862745 0.01887255 0.13210784 0.09068627 0.18970588],17.0,[0.31936275 0.27977941 0.26838235 0.11078431 0.02169118],82.0,[0.22830882 0.36262255 0.18051471 0.11960784 0.10894608],82.0,0.20134803921568628
https_i.ytimg.comviOmM425PFd3Ydefault.jpg,True,True,True,False,False,False,2,[0.37647059 0.24673203 0.33468137 0.02953431 0.0125817 ],79.0,[0.14301471 0.00821078 0.32965686 0.49338235 0.02573529],109.0,[0.22634804 0.42647059 0.27401961 0.03627451 0.03688725],81.0,[0.65637255 0.21556373 0.08382353 0.03284314 0.01139706],37.0,0.07916666666666666
https_i.ytimg.comviOm_zGhJLZ5Udefault.jpg,True,True,False,False,False,False,0,[0.36956699 0.30894608 0.14530229 0.08386438 0.09232026],79.0,[0.33406863 0.06151961 0.41703431 0.12855392 0.05882353],94.0,[0.36862745 0.34509804 0.09509804 0.05919118 0.13198529],64.0,[0.36727941 0.18958333 0.15588235 0.14227941 0.14497549],85.0,0.2243872549019608
https_i.ytimg.comviOmhvgIgwLeMdefault.jpg,True,True,False,False,False,False,0,[0.49771242 0.25486111 0.22675654 0.0057598  0.01491013],52.0,[0.3192402  0.00379902 0.05355392 0.62169118 0.00171569],103.0,[0.33321078 0.56752451 0.05196078 0.00257353 0.04473039],70.0,[0.78615196 0.13664216 0.04644608 0.01985294 0.01090686],21.0,0.031985294117647056
https_i.ytimg.comviOpsHLG657lMdefault.jpg,True,True,False,False,False,False,0,[0.46764706 0.08827614 0.26405229 0.06441993 0.11560458],70.0,[0.28982843 0.0129902  0.03039216 0.61580882 0.05098039],119.0,[0.26409314 0.19056373 0.11397059 0.09840686 0.33296569],117.0,[0.83786765 0.04436275 0.04448529 0.04791667 0.02536765],20.0,0.09227941176470589
https_i.ytimg.comviOqca3fl0GEQdefault.jpg,False,False,False,False,False,False,0,[0.27111928 0.13647876 0.28382353 0.19799837 0.11058007],117.0,[0.65796569 0.08455882 0.13063725 0.04068627 0.08615196],17.0,[0.04656863 0.12634804 0.20563725 0.37328431 0.24816176],176.0,[0.05747549 0.21053922 0.52242647 0.13713235 0.07242647],128.0,0.2855392156862745
